Name	Used	Potential
ELECTRICITY	4805.878083	100000000.000000
GASOLINE	0.000000	100000000.000000
DIESEL	0.000000	100000000.000000
BIOETHANOL	0.000000	0.000000
BIODIESEL	0.000000	0.000000
LFO	0.000000	100000000.000000
NG	150216.456029	100000000.000000
SLF	0.000000	0.000000
SNG	0.000000	0.000000
WOOD	9780.830000	9780.830000
WET_BIOMASS	56382.240000	56382.240000
COAL	0.000000	0.000000
URANIUM	293111.048283	100000000.000000
WASTE	12746.480000	12746.480000
H2	0.000000	0.000000
ELEC_EXPORT	0.000000	100000000.000000
CO2_EMISSIONS	15917.643365	100000000.000000
RES_WIND	122843.959268	100000000.000000
RES_SOLAR	32579.640989	100000000.000000
RES_HYDRO	0.000000	100000000.000000
RES_GEO	1431.384000	100000000.000000
CO2_ATM	0.000000	100000000.000000
CO2_INDUSTRY	0.000000	100000000.000000
CO2_CAPTURED	0.000000	100000000.000000
PT_HEAT	0.000000	0.000000
ST_HEAT	0.000000	0.000000
