Name	Used	Potential
ELECTRICITY	0.000000	100000000.000000
GASOLINE	0.000000	100000000.000000
DIESEL	0.000000	100000000.000000
BIOETHANOL	0.000000	0.000000
BIODIESEL	0.000000	0.000000
LFO	0.000000	100000000.000000
NG	0.000000	100000000.000000
SLF	0.000000	0.000000
SNG	0.000000	0.000000
WOOD	84290.803180	310497.740000
WET_BIOMASS	4872.970000	4872.970000
COAL	0.000000	100000000.000000
URANIUM	0.000000	100000000.000000
WASTE	15305.080000	15305.080000
H2	0.000000	0.000000
ELEC_EXPORT	0.000000	100000000.000000
CO2_EMISSIONS	24902.630587	100000000.000000
RES_WIND	161735.746965	100000000.000000
RES_SOLAR	0.000000	100000000.000000
RES_HYDRO	71762.362015	100000000.000000
RES_GEO	0.000000	100000000.000000
CO2_ATM	0.000000	100000000.000000
CO2_INDUSTRY	0.000000	100000000.000000
CO2_CAPTURED	0.000000	100000000.000000
PT_HEAT	0.000000	0.000000
ST_HEAT	0.000000	0.000000
