Name	Used	Potential
ELECTRICITY	49971.301250	100000000.000000
GASOLINE	0.000000	100000000.000000
DIESEL	0.000000	100000000.000000
BIOETHANOL	0.000000	0.000000
BIODIESEL	0.000000	0.000000
LFO	0.000000	100000000.000000
NG	272623.442027	100000000.000000
SLF	0.000000	0.000000
SNG	0.000000	0.000000
WOOD	321639.280000	321639.280000
WET_BIOMASS	123719.940000	123719.940000
COAL	0.000000	0.000000
URANIUM	841205.968011	100000000.000000
WASTE	62197.240000	62197.240000
H2	0.000000	0.000000
ELEC_EXPORT	56765.960024	100000000.000000
CO2_EMISSIONS	131107.932680	100000000.000000
RES_WIND	370003.770778	100000000.000000
RES_SOLAR	614015.238755	100000000.000000
RES_HYDRO	11529.945089	100000000.000000
RES_GEO	17327.280000	100000000.000000
CO2_ATM	0.000000	100000000.000000
CO2_INDUSTRY	0.000000	100000000.000000
CO2_CAPTURED	-0.000000	100000000.000000
PT_HEAT	0.000000	0.000000
ST_HEAT	0.000000	0.000000
