Name	Used	Potential
ELECTRICITY	648.736362	100000000.000000
GASOLINE	0.000000	100000000.000000
DIESEL	0.000000	100000000.000000
BIOETHANOL	0.000000	0.000000
BIODIESEL	0.000000	0.000000
LFO	0.000000	100000000.000000
NG	2538.131576	100000000.000000
SLF	0.000000	0.000000
SNG	0.000000	0.000000
WOOD	17561.300000	17561.300000
WET_BIOMASS	918.770000	918.770000
COAL	0.000000	0.000000
URANIUM	31007.032290	100000000.000000
WASTE	3256.400000	3256.400000
H2	0.000000	0.000000
ELEC_EXPORT	17.897284	100000000.000000
CO2_EMISSIONS	2383.978362	100000000.000000
RES_WIND	3366.999271	100000000.000000
RES_SOLAR	7244.527442	100000000.000000
RES_HYDRO	3081.117417	100000000.000000
RES_GEO	589.800909	100000000.000000
CO2_ATM	0.000000	100000000.000000
CO2_INDUSTRY	0.000000	100000000.000000
CO2_CAPTURED	0.000000	100000000.000000
PT_HEAT	0.000000	0.000000
ST_HEAT	0.000000	0.000000
