Name	Used	Potential
ELECTRICITY	0.000000	100000000.000000
GASOLINE	0.000000	100000000.000000
DIESEL	0.000000	100000000.000000
BIOETHANOL	0.000000	0.000000
BIODIESEL	0.000000	0.000000
LFO	0.000000	100000000.000000
NG	0.000000	100000000.000000
SLF	0.000000	0.000000
SNG	0.000000	0.000000
WOOD	22098.623840	246567.630000
WET_BIOMASS	13514.060000	13514.060000
COAL	0.000000	100000000.000000
URANIUM	0.000000	100000000.000000
WASTE	11095.020000	11095.020000
H2	0.000000	0.000000
ELEC_EXPORT	0.000000	100000000.000000
CO2_EMISSIONS	9865.343051	100000000.000000
RES_WIND	134136.055140	100000000.000000
RES_SOLAR	3.193055	100000000.000000
RES_HYDRO	15524.625219	100000000.000000
RES_GEO	0.000000	100000000.000000
CO2_ATM	0.000000	100000000.000000
CO2_INDUSTRY	0.000000	100000000.000000
CO2_CAPTURED	350.273481	100000000.000000
PT_HEAT	0.000000	0.000000
ST_HEAT	0.000000	0.000000
