Name	Used	Potential
ELECTRICITY	0.000000	100000000.000000
GASOLINE	0.000000	100000000.000000
DIESEL	0.000000	100000000.000000
BIOETHANOL	0.000000	0.000000
BIODIESEL	0.000000	0.000000
LFO	0.000000	100000000.000000
NG	0.000000	100000000.000000
SLF	0.000000	0.000000
SNG	0.000000	0.000000
WOOD	17561.300000	17561.300000
WET_BIOMASS	918.770000	918.770000
COAL	0.000000	100000000.000000
URANIUM	0.000000	100000000.000000
WASTE	3256.400000	3256.400000
H2	0.000000	0.000000
ELEC_EXPORT	0.000000	100000000.000000
CO2_EMISSIONS	3838.274555	100000000.000000
RES_WIND	12946.242121	100000000.000000
RES_SOLAR	51874.290445	100000000.000000
RES_HYDRO	6005.436492	100000000.000000
RES_GEO	2260.080000	100000000.000000
CO2_ATM	0.000000	100000000.000000
CO2_INDUSTRY	0.000000	100000000.000000
CO2_CAPTURED	0.000000	100000000.000000
PT_HEAT	0.000000	0.000000
ST_HEAT	0.000000	0.000000
