Name	GWP_constr	GWP_op
NUCLEAR	0.000000	0.000000
CCGT	85.285523	0.000000
COAL_US	0.000000	0.000000
COAL_IGCC	0.000000	0.000000
PV	9883.490006	0.000000
PT_POWER_BLOCK	0.000000	0.000000
ST_POWER_BLOCK	0.000000	0.000000
STIRLING_DISH	0.000000	0.000000
WIND_ONSHORE	3983.208797	0.000000
WIND_OFFSHORE	2599.168936	0.000000
HYDRO_DAM	0.000000	0.000000
HYDRO_RIVER	59.983950	0.000000
NEW_TIDAL_STREAM	0.000000	0.000000
TIDAL_STREAM	0.000000	0.000000
TIDAL_RANGE	0.000000	0.000000
WAVE	0.000000	0.000000
GEOTHERMAL	830.969667	0.000000
IND_COGEN_GAS	0.000000	0.000000
IND_COGEN_WOOD	0.000000	0.000000
IND_COGEN_WASTE	0.000000	0.000000
IND_BOILER_GAS	0.000000	0.000000
IND_BOILER_WOOD	0.000000	0.000000
IND_BOILER_OIL	0.000000	0.000000
IND_BOILER_COAL	0.000000	0.000000
IND_BOILER_WASTE	12.307359	0.000000
IND_DIRECT_ELEC	0.710220	0.000000
DHN_HP_ELEC	229.732593	0.000000
DHN_COGEN_GAS	0.000000	0.000000
DHN_COGEN_WOOD	0.000000	0.000000
DHN_COGEN_WET_BIOMASS	0.000000	0.000000
DHN_COGEN_WASTE	0.000000	0.000000
DHN_BOILER_GAS	0.000000	0.000000
DHN_BOILER_WOOD	0.000000	0.000000
DHN_BOILER_OIL	0.000000	0.000000
DHN_DEEP_GEO	0.000000	0.000000
DHN_SOLAR	0.000000	0.000000
DEC_HP_ELEC	784.554231	0.000000
DEC_THHP_GAS	0.000000	0.000000
DEC_COGEN_GAS	0.000000	0.000000
DEC_COGEN_OIL	0.000000	0.000000
DEC_ADVCOGEN_GAS	0.000000	0.000000
DEC_ADVCOGEN_H2	0.000000	0.000000
DEC_BOILER_GAS	0.000000	0.000000
DEC_BOILER_WOOD	0.000000	0.000000
DEC_BOILER_OIL	0.000000	0.000000
DEC_SOLAR	0.000000	0.000000
DEC_DIRECT_ELEC	0.000000	0.000000
BIG_SPLIT	0.000000	0.000000
CHILLER_WC	0.000000	0.000000
TRAMWAY_TROLLEY	0.000000	0.000000
BUS_COACH_DIESEL	0.000000	0.000000
BUS_COACH_HYDIESEL	0.000000	0.000000
BUS_COACH_CNG_STOICH	0.000000	0.000000
BUS_COACH_FC_HYBRIDH2	0.000000	0.000000
TRAIN_PUB	0.000000	0.000000
CAR_GASOLINE	0.000000	0.000000
CAR_DIESEL	0.000000	0.000000
CAR_NG	0.000000	0.000000
CAR_HEV	0.000000	0.000000
CAR_PHEV	0.000000	0.000000
CAR_BEV	0.000000	0.000000
CAR_FUEL_CELL	0.000000	0.000000
TRAIN_FREIGHT	0.000000	0.000000
BOAT_FREIGHT_DIESEL	0.000000	0.000000
BOAT_FREIGHT_NG	0.000000	0.000000
TRUCK_DIESEL	0.000000	0.000000
TRUCK_FUEL_CELL	0.000000	0.000000
TRUCK_NG	0.000000	0.000000
NON_ENERGY_OIL	0.000000	0.000000
NON_ENERGY_NG	0.000000	0.000000
DAM_STORAGE	0.000000	0.000000
PHS	46.490211	0.000000
BATT_LI	0.000000	0.000000
CAES	0.000000	0.000000
BEV_BATT	0.000000	0.000000
PHEV_BATT	0.000000	0.000000
TS_DEC_HP_ELEC	0.000000	0.000000
TS_DEC_DIRECT_ELEC	0.000000	0.000000
TS_DHN_DAILY	0.000000	0.000000
TS_DHN_SEASONAL	0.000000	0.000000
TS_DEC_THHP_GAS	0.000000	0.000000
TS_DEC_COGEN_GAS	0.000000	0.000000
TS_DEC_COGEN_OIL	0.000000	0.000000
TS_DEC_ADVCOGEN_GAS	0.000000	0.000000
TS_DEC_ADVCOGEN_H2	0.000000	0.000000
TS_DEC_BOILER_GAS	0.000000	0.000000
