Name	Used	Potential
ELECTRICITY	0.000000	100000000.000000
GASOLINE	0.000000	100000000.000000
DIESEL	0.000000	100000000.000000
BIOETHANOL	0.000000	0.000000
BIODIESEL	0.000000	0.000000
LFO	0.000000	100000000.000000
NG	0.000000	100000000.000000
SLF	0.000000	0.000000
SNG	0.000000	0.000000
WOOD	63069.490000	63069.490000
WET_BIOMASS	30447.340000	30447.340000
COAL	0.000000	100000000.000000
URANIUM	0.000000	100000000.000000
WASTE	12478.990000	12478.990000
H2	0.000000	0.000000
ELEC_EXPORT	0.000000	100000000.000000
CO2_EMISSIONS	24828.409424	100000000.000000
RES_WIND	85162.965625	100000000.000000
RES_SOLAR	108410.859283	100000000.000000
RES_HYDRO	1897.765882	100000000.000000
RES_GEO	3013.440000	100000000.000000
CO2_ATM	0.000000	100000000.000000
CO2_INDUSTRY	0.000000	100000000.000000
CO2_CAPTURED	0.000000	100000000.000000
PT_HEAT	0.000000	0.000000
ST_HEAT	0.000000	0.000000
