source,target,realValue,layerID,layerColor,layerUnit
Diesel,Mob public,1.89,Diesel,#D3D3D3,TWh
Diesel,Freight,18.23,Diesel,#D3D3D3,TWh
Gas,Freight,3.81,NG,#FFD700,TWh
Gas,Elec,6.82,NG,#FFD700,TWh
Wind,Elec,74.87,Wind,#27AE34,TWh
Hydro River,Elec,10.08,Hydro River,#0000FF,TWh
Solar,Elec,1.48,Solar,#FFFF00,TWh
Waste,Boilers,15.15,Waste,#808000,TWh
Wood,Biofuels,30.21,Wood,#CD853F,TWh
Wood,Boilers,112.27,Wood,#CD853F,TWh
Wet biomass,Biomethanation,42.33,Wood,#CD853F,TWh
Biomethanation,Gas,39.54,NG,#FFD700,TWh
Elec,Mob priv,14.83,Electricity,#00BFFF,TWh
Elec,Mob public,2.46,Electricity,#00BFFF,TWh
Elec,Freight,1.40,Electricity,#00BFFF,TWh
Elec,Exp & Loss,17.67,Electricity,#00BFFF,TWh
Elec,Curt.,0.21,Electricity,#00BFFF,TWh
Elec,Elec demand,49.60,Electricity,#00BFFF,TWh
Elec,Storage,1.04,Electricity,#00BFFF,TWh
Storage,Elec demand,0.90,Electricity,#00BFFF,TWh
Elec,HPs,13.76,Electricity,#00BFFF,TWh
Elec,Heat HT,2.97,Electricity,#00BFFF,TWh
HPs,Heat LT Dec,11.28,Heat LT,#FA8072,TWh
HPs,DHN,36.40,Heat LT,#FA8072,TWh
HPs,Dec. Sto,2.70,Heat LT,#FA8072,TWh
Biofuels,Elec,0.48,Electricity,#00BFFF,TWh
Biofuels,Boilers,0.00,Oil,#8B008B,TWh
Boilers,Heat LT Dec,-27.53,Heat LT,#FA8072,TWh
Boilers,Dec. Sto,7.92,Heat LT,#FA8072,TWh
Boilers,DHN,10.02,Heat LT,#FA8072,TWh
Boilers,Heat HT,38.87,Heat HT,#DC143C,TWh
Dec. Sto,Heat LT Dec,10.09,Heat LT,#FA8072,TWh
DHN,Heat LT DHN,33.84,Heat LT,#FA8072,TWh
DHN,Loss DHN,3.25,Heat LT,#FA8072,TWh
DHN,DHN Sto,9.33,Heat LT,#FA8072,TWh
DHN Sto,Heat LT DHN,9.04,Heat LT,#FA8072,TWh
Gas,Non-Energy,28.90,NG,#FFD700,TWh
